	id	videoID	feature	duration	label
30	36	AtiSFub9C6s	"[[-0.0303804   0.01115671 -0.02371498 ...  0.02308021 -0.04257829
   0.00116961]
 [-0.02932308  0.0118463  -0.0163379  ...  0.00855199 -0.06772595
   0.00054923]
 [-0.02843217  0.01910648 -0.02373533 ...  0.01998354 -0.03752794
   0.00505812]
 ...
 [-0.02780952  0.00954114 -0.00775548 ...  0.00952221 -0.02462387
  -0.00539679]
 [-0.03109056  0.00746177 -0.02848571 ...  0.00777356  0.02161366
   0.0143337 ]
 [-0.02163997  0.00293653 -0.01682581 ...  0.01954249 -0.01113129
   0.01152804]]"	43.2098	-1
31	37	C1YsCGpjfGM	"[[-0.02408305  0.00628156 -0.02201624 ...  0.01232188  0.02659179
   0.00858788]
 [-0.03335722  0.00685443 -0.03216203 ...  0.01993131 -0.01442629
   0.00811442]
 [-0.03247283 -0.00317198 -0.02928646 ...  0.02145507  0.01032099
   0.00659223]
 ...
 [-0.03623808 -0.00012414 -0.01885878 ...  0.02150224  0.01619677
   0.00810032]
 [-0.03444403 -0.00328228 -0.0068492  ...  0.01683463 -0.00024719
  -0.0011959 ]
 [-0.02848124  0.00118034 -0.01344467 ...  0.03180429  0.00362123
  -0.00186209]]"	542.008	0
32	39	CgpUlh4B7E4	"[[-0.03357638 -0.00306751 -0.02029059 ...  0.01580903 -0.05262673
   0.00507225]
 [-0.03560288 -0.00296677 -0.01474923 ...  0.00014637 -0.06851551
  -0.0019495 ]
 [-0.0356685  -0.00787816 -0.01993457 ...  0.00249775 -0.08564484
   0.00590124]
 ...
 [-0.02546715  0.00455608 -0.00937452 ...  0.01167046 -0.03410495
   0.00448429]
 [-0.02552264  0.00759987 -0.02019063 ...  0.02268013 -0.04998498
   0.00132659]
 [-0.02261575 -0.00171821 -0.01440595 ... -0.00402707 -0.04240588
   0.00375646]]"	195.996	0
33	40	g0DUu_oOMSg	"[[-0.01497301  0.00269224 -0.00344671 ...  0.0035362  -0.01929475
   0.01094877]
 [-0.02334998 -0.00482707 -0.00219706 ...  0.00106738  0.04500053
   0.00947682]
 [-0.02193176 -0.00430886 -0.0019904  ...  0.00699936 -0.00246927
   0.00462497]
 ...
 [-0.01694765 -0.03060725  0.01102624 ... -0.01252271  0.02074784
   0.00902878]
 [-0.01022339 -0.0274656   0.01850215 ... -0.00696478  0.05440126
   0.01575288]
 [-0.01288366 -0.00886078 -0.00428672 ...  0.00940421 -0.00412454
   0.02685641]]"	89.1224	-1
34	42	DcrsXAO47sQ	"[[-0.02182277  0.00152615 -0.01116091 ...  0.01246977 -0.00963606
   0.00732524]
 [-0.0261157  -0.00306184 -0.01446655 ...  0.011304   -0.00350141
   0.00621135]
 [-0.03259291 -0.00149154 -0.00589708 ... -0.0085749  -0.04220317
   0.00141136]
 ...
 [-0.02574253 -0.00315425 -0.00424288 ... -0.00881569 -0.02369372
   0.00779814]
 [-0.02822026 -0.00543616 -0.01119759 ... -0.00828364 -0.03343438
   0.00372034]
 [-0.02597471 -0.00012242 -0.00036135 ... -0.00365685 -0.03871595
   0.00350465]]"	855.555	-1
35	43	DcrsXAO47sQ	"[[-0.03382422  0.00442166 -0.00022291 ...  0.00415162 -0.0616294
   0.01558277]
 [-0.03195394  0.00108114  0.00070275 ...  0.00280193 -0.0960142
   0.02220736]
 [-0.03601599  0.00264948 -0.0025856  ...  0.00385312 -0.11070463
   0.01357247]
 ...
 [-0.03109013  0.00597241  0.01916299 ...  0.00732787 -0.05152738
   0.01131992]
 [-0.03158193  0.00649369  0.00703001 ...  0.01755666 -0.04641901
   0.01913074]
 [-0.03074257 -0.00103789  0.0052354  ...  0.02233203 -0.03191536
   0.01869713]]"	1026.03	-1
36	44	FGTl32fB618	"[[-3.80545482e-02 -1.63822071e-04 -1.81459114e-02 ...  3.72788273e-02
  -1.02247540e-02  6.65682694e-03]
 [-3.63459066e-02 -3.43921874e-03 -1.19866095e-02 ...  5.88123314e-02
   3.86446086e-03  7.21548218e-03]
 [-1.70438029e-02  8.08114000e-03 -6.34537963e-03 ...  1.12564834e-02
  -1.78324245e-02 -2.07399034e-06]
 ...
 [-4.52123992e-02 -1.31323868e-02 -2.62681209e-02 ...  3.38419788e-02
  -6.25891984e-02 -2.29940168e-04]
 [-3.89896221e-02 -3.82038555e-03 -1.44326054e-02 ...  1.82706974e-02
  -5.37542999e-03  1.27914995e-02]
 [-3.82747352e-02 -4.66403039e-03 -1.51806707e-02 ...  2.48811878e-02
  -2.44111475e-02  1.27038080e-02]]"	825.825	-1
37	45	FGTl32fB618	"[[-0.02098199 -0.00711718 -0.02476827 ...  0.01706314  0.04351468
   0.01380519]
 [-0.00530292 -0.02543564 -0.01984677 ...  0.00704899  0.04199178
   0.00429681]
 [-0.02204986 -0.01358485 -0.03196725 ...  0.01096784  0.03884707
   0.01540591]
 ...
 [-0.0416911   0.00174111 -0.02876559 ...  0.00985793  0.00570455
   0.010583  ]
 [ 0.01235695 -0.01669455 -0.01931617 ...  0.0260447   0.05687277
   0.01463421]
 [ 0.01211558 -0.01636073 -0.01864014 ...  0.02455681  0.06370387
   0.01298745]]"	37.0036	-1
38	46	j1-voIWJ7YY	"[[-1.3304783e-02 -1.5335432e-02 -1.4748319e-02 ... -9.6612051e-03
  -8.3058342e-02 -7.0020761e-03]
 [-4.8646517e-03 -1.5580584e-02 -1.4541429e-02 ... -7.4552912e-03
  -4.8098642e-02 -4.1253655e-04]
 [-1.3601470e-02 -1.7284978e-02 -1.5972972e-02 ... -5.8108540e-03
  -4.0255990e-02 -4.9544494e-03]
 ...
 [ 1.2849107e-03 -1.8573463e-02 -1.2779707e-02 ...  5.6570875e-03
   3.4467664e-02  1.7360938e-03]
 [-3.0713021e-03 -6.0205641e-03 -1.3083845e-02 ...  5.5970568e-03
  -7.5135872e-02  6.3054363e-06]
 [ 3.1546224e-02 -2.3154592e-02 -1.0158052e-03 ...  4.6951640e-03
  -2.6576029e-02  1.4680009e-02]]"	51.1511	-1
39	47	j1-voIWJ7YY	"[[-9.47878323e-03 -9.51078627e-03  1.12386765e-02 ...  1.93473473e-02
   5.98021261e-02 -9.29479860e-03]
 [ 1.29045425e-02 -2.05964614e-02  1.28788231e-02 ...  2.77125966e-02
   6.64672479e-02  2.79758149e-03]
 [ 1.03410715e-02  3.94249335e-03  3.93198989e-03 ...  2.39493139e-02
   5.82489558e-02  6.08618697e-03]
 ...
 [-3.17339450e-02 -1.49358604e-02  7.85724260e-03 ... -1.94098207e-03
   5.94274849e-02 -1.96979195e-02]
 [ 4.81939595e-03 -1.62917785e-02  9.99747217e-03 ...  3.74105643e-03
   7.98943490e-02  7.09990505e-04]
 [-8.24048650e-03 -6.86504971e-03  5.23542566e-03 ...  3.15099078e-06
  -3.08484002e-03  6.70193927e-03]]"	45.1451	-1
40	48	j1-voIWJ7YY	"[[ 0.00723292 -0.0103182   0.00572022 ...  0.00033667  0.07351668
  -0.0042255 ]
 [-0.00998091 -0.00362216  0.00164539 ...  0.02351358  0.02092095
   0.00464666]
 [ 0.01951466 -0.02354713  0.01079389 ...  0.00922247  0.05073514
  -0.00612505]
 ...
 [ 0.02537334  0.01358304  0.00927965 ... -0.00917575  0.04295798
   0.00806103]
 [ 0.00240518 -0.00932166  0.0118972  ... -0.00148486 -0.00185537
  -0.00828102]
 [-0.01008028 -0.01436037  0.03172706 ... -0.00806812 -0.00793052
   0.00065466]]"	213.28	-1
41	49	j1-voIWJ7YY	"[[-0.02854002  0.00158136 -0.0239465  ...  0.01668357  0.02688355
   0.00357255]
 [-0.02880096 -0.00032983 -0.02947633 ...  0.00849642  0.0187697
   0.01257756]
 [-0.03395105  0.00525803 -0.02508894 ...  0.01897628  0.02785428
   0.0077815 ]
 ...
 [-0.03007295 -0.0017022  -0.01244802 ...  0.01468559 -0.0590276
   0.00539413]
 [-0.02058256 -0.00643847 -0.01227879 ... -0.00330057 -0.00439143
   0.00973245]
 [-0.03215601  0.00471894 -0.01891801 ...  0.02162396  0.01037521
   0.018584  ]]"	718.318	-1
42	50	jBr2b1cx3Qg	"[[-0.02157394 -0.00306721 -0.02292863 ...  0.02296406  0.0257501
   0.01738223]
 [-0.02976411  0.00076598 -0.02666083 ...  0.01833753 -0.00352789
   0.01089381]
 [-0.02953555 -0.000848   -0.02623476 ...  0.00707435  0.00943706
   0.01143852]
 ...
 [-0.03163211  0.00219129 -0.01510446 ...  0.00444475 -0.01831889
   0.00606783]
 [-0.02462809  0.00178784 -0.02760759 ...  0.01110916  0.01704203
   0.0095783 ]
 [-0.02593737  0.00754869 -0.01687359 ...  0.01957587  0.00230276
   0.00735752]]"	38.3049	0
